SHIP_ID,SHIPNAME,COUNTRY,COUNT_PHOTOS,DESTINATION,LAST_POS,TIMEZONE,LON,LAT,SPEED
656167,DESH VAIBHAV,INDIA,17,VADINAR INDIA,1773508761,4.0,55.917683,26.19915,0.0
374107,NANDA DEVI,INDIA,25,IN IXY,1773489371,3.5,55.961212,26.698446,0.2
753747,GREEN ASHA,INDIA,29,DUBAI,1773099688,4.0,53.804646,24.694155,37.5
711786,JAG LAADKI,INDIA,51,AEFJR,1773423232,4.0,56.757126,25.162172,19.2
188992,JAG VASANT,INDIA,10,IN IXY ALL INDIANS,1773508258,4.0,55.907547,26.210436,N/A
2601376,DESH VIBHOR,INDIA,5,SIKKA INDIA,1773507501,4.0,55.902447,26.220247,0.0
656537,DESH SURAKSHA,INDIA,17,KWMEA,1773508615,3.0,48.173748,29.065687,1.1
200961,BW ELM,INDIA,14,IN NML,1773509013,4.0,54.587517,25.220678,102.1
121889,SANMAR SUPARNA,INDIA,95,AE DXB,1773395615,4.0,54.280239,25.317692,N/A
315115,BW LOYALTY,INDIA,17,RASHID DUBAI,1773318186,4.0,55.105247,25.385307,0.8
714358,SHIVALIK,INDIA,18,MUNDRA/INDIA,1773488876,4.0,57.527519,24.757917,10.1
753612,JAG VIKRAM,INDIA,22,AE RUW,1773435818,4.0,54.583332,25.23,N/A
688424,GREEN SANVI,INDIA,13,RUWAIS,1773303885,4.0,55.493694,25.911421,56.5
656533,DESH GARIMA,INDIA,7,QA RFL,1773508930,4.0,54.595299,25.210155,0.0
2855321,PINE GAS,INDIA,41,ALL CREW INDIAN,1773508984,4.0,55.905277,26.211308,102.1
656320,JAG PRAKASH,INDIA,13,TZ TGT,1773350555,4.0,57.158005,24.834257,10.3
655094,JAG PAVITRA,INDIA,35,AEHAM,1773231429,3.0,52.515862,24.142729,0.0
655485,KANTA,INDIA,0,N/A,1402001614,5.0,58.562481,23.66013,0.0
655562,NANGA PARBAT,INDIA,0,DUBAI,1534587413,4.0,55.083698,25.40836,0.0
656273,MAHARSHI VAMADEVA,INDIA,4,AE FJR,1530449272,4.0,56.491581,25.26408,0.0
8675,PAVITRA,INDIA,0,FUJAYRAH,1277122500,N/A,59.416561,24.53466,12.9
9101,DUNA,INDIA,0,BASHRA,1236550920,N/A,51.885578,27.289289,N/A
12355,VAYU,INDIA,0,FUJAIRAH,1227226560,N/A,54.595501,26.36067,N/A
12712,VASISHTH,INDIA,0,VIZAG,1226766600,N/A,55.750832,26.252331,N/A
